SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",53000,42700,58100,42700,42700,42700,70200,70200
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",43900,33800,49000,33600,35000,40000,48900,63300
51-9071,Jewelers and Precious Stone and Metal Workers,52900,29300,64700,19400,40200,49300,73000,73000
51-9081,Dental Laboratory Technicians,55600,37800,64500,36200,41900,51400,66200,81400
51-9082,Medical Appliance Technicians,46700,35900,52200,34100,38600,39400,57200,67700
51-9083,Ophthalmic Laboratory Technicians,44900,35400,49700,34400,38400,45800,47200,58000
51-9111,Packaging and Filling Machine Operators and Tenders,41200,32000,45800,30800,34300,37300,49400,53300
51-9123,"Painting, Coating, and Decorating Workers",50300,35200,57900,34200,38900,51000,62800,65000
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",55900,35600,66000,33100,40800,49100,71400,83600
51-9141,Semiconductor Processing Technicians,58800,40500,67900,37200,46400,52200,75100,87300
51-9151,Photographic Process Workers and Processing Machine Operators,32900,25000,36800,25500,25500,31700,35600,45700
51-9161,Computer Numerically Controlled Tool Operators,52100,40500,57900,40900,42200,53800,53800,71500
51-9162,Computer Numerically Controlled Tool Programmers,71000,51100,81000,47300,58500,68400,82100,92800
51-9191,Adhesive Bonding Machine Operators and Tenders,41000,32800,45100,32200,34800,40200,42900,54700
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",42900,35400,46600,34000,38400,43400,47300,47900
51-9193,Cooling and Freezing Equipment Operators and Tenders,47900,39700,52000,36800,44300,46700,53700,60900
51-9194,Etchers and Engravers,47000,37700,51700,36700,39500,41700,54500,57700
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51900,41000,57300,37200,47200,50700,54200,66000
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",54400,46900,58100,47000,47000,48200,61700,80900
51-9197,Tire Builders,47200,38200,51700,37000,41100,47400,51400,57300
51-9198,Helpers--Production Workers,43400,28200,50900,27200,31400,40300,54300,71800
51-9199,"Production Workers, All Other",50400,33700,58700,33100,36000,43000,68600,86100
53-1041,Aircraft Cargo Handling Supervisors,83600,57200,96800,49500,70200,79200,99900,105100
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",64200,41000,75800,38700,47300,63200,77300,86000
53-2011,"Airline Pilots, Copilots, and Flight Engineers",351300,157500,448300,133700,206300,298000,358000,450200
53-2012,Commercial Pilots,164000,86000,203000,83500,98200,142300,219800,285700
53-2021,Air Traffic Controllers,155300,89900,188000,77200,116300,169100,187000,205800
53-2022,Airfield Operations Specialists,49300,25200,61400,22300,30000,46700,76400,76400
53-2031,Flight Attendants,78000,59700,87200,60900,60900,75500,84700,123700
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",33300,27700,36200,27200,28700,30500,36500,48500
53-3031,Driver/Sales Workers,38900,23600,46600,23700,25100,33900,47200,65000
53-3032,Heavy and Tractor-Trailer Truck Drivers,55900,38600,64500,35700,44300,52200,64300,81000
53-3033,Light Truck Drivers,47800,29900,56700,27900,34100,40800,61600,93000
53-3051,"Bus Drivers, School",39100,27100,45000,20400,35500,35500,48000,51000
53-3052,"Bus Drivers, Transit and Intercity",48700,39400,53400,37100,43200,45900,56600,59100
53-3053,Shuttle Drivers and Chauffeurs,32900,24900,37000,22400,28800,31000,37600,45800
53-3054,Taxi Drivers,37000,27900,41600,26700,30400,34700,38800,58400
53-3099,"Motor Vehicle Operators, All Other",40200,25300,47600,24500,27600,33000,54700,73700
53-4011,Locomotive Engineers,78000,59800,87100,61000,61000,76100,79800,91600
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",52800,38800,59700,39600,39600,49500,62400,75200
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",60200,44800,67900,42800,50000,61900,66200,75900
53-4031,Railroad Conductors and Yardmasters,67400,52800,74700,47800,60600,62800,78800,91500
53-4041,Subway and Streetcar Operators,54600,49500,57100,43900,57600,57600,57600,57600
53-4099,"Rail Transportation Workers, All Other",56100,28200,70100,30000,30000,61300,75900,92400
53-5011,Sailors and Marine Oilers,40300,32800,44000,31100,35500,37200,45900,48800
53-5021,"Captains, Mates, and Pilots of Water Vessels",101300,43700,130100,40200,53000,83500,120200,136800
53-5022,Motorboat Operators,41800,34600,45400,33000,37100,37100,42700,61300
53-5031,Ship Engineers,99700,60100,119500,56500,70400,96500,123200,152500
53-6011,Bridge and Lock Tenders,53500,35500,62500,32300,42200,55000,65000,69400
53-6021,Parking Attendants,29700,20600,34300,18700,23400,29500,36000,36900
53-6031,Automotive and Watercraft Service Attendants,30000,24700,32700,24600,25400,29100,31700,38700
53-6032,Aircraft Service Attendants,44100,32500,49900,29500,37500,41500,47500,62500
53-6041,Traffic Technicians,56600,39900,65000,39200,42800,53200,64000,88000
53-6051,Transportation Inspectors,98200,59100,117700,49200,76400,97600,122200,139700
53-6061,Passenger Attendants,35100,26000,39700,26800,26800,37400,38400,48800
53-6099,"Transportation Workers, All Other",41900,25700,50000,22000,31200,43600,50500,55100
53-7011,Conveyor Operators and Tenders,40900,36500,43100,36600,36600,36800,47500,53500
53-7021,Crane and Tower Operators,64000,45600,73200,42100,53200,66400,73400,77900
53-7031,Dredge Operators,54200,44000,59300,42600,46400,48500,59700,73600
53-7041,Hoist and Winch Operators,39900,30900,44400,29400,33900,38100,45700,51500
53-7051,Industrial Truck and Tractor Operators,43100,37300,46000,36700,39000,42800,46600,47800
53-7061,Cleaners of Vehicles and Equipment,30100,23000,33600,23100,23900,29700,32400,37700
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",40400,32400,44300,31500,34500,38700,46200,48300
