SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
35-3011,Bartenders,31100,16900,38200,16300,17500,29600,39200,46700
35-3023,Fast Food and Counter Workers,26500,22400,28600,21600,23600,24400,29600,34800
35-3031,Waiters and Waitresses,26300,16500,31200,16600,16800,19900,31100,47500
35-3041,"Food Servers, Nonrestaurant",32100,26000,35100,24600,28800,32300,35000,40000
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,29400,20800,33700,18900,23700,28400,32700,38300
35-9021,Dishwashers,29300,23600,32200,22800,25500,29400,32400,36900
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",26700,20500,29900,18900,23100,27900,29500,31200
35-9099,"Food Preparation and Serving Related Workers, All Other",27000,23000,29000,21700,25200,26500,26600,33200
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,44400,33900,49600,32800,36300,40300,53500,60700
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",47200,31300,55200,27300,38100,45600,54700,68400
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",33000,24600,37100,23300,27500,32200,36300,41300
37-2012,Maids and Housekeeping Cleaners,27700,23200,29900,22800,24300,27300,29900,32500
37-2019,"Building Cleaning Workers, All Other",29100,16000,35600,15700,15700,31600,35800,42000
37-2021,Pest Control Workers,46500,32300,53600,29500,37600,43400,51200,66800
37-3011,Landscaping and Groundskeeping Workers,37100,30600,40400,30300,31900,36200,40500,45700
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37000,32800,39100,31300,35000,35300,40100,44400
37-3013,Tree Trimmers and Pruners,44100,30100,51100,26100,36500,41500,50900,60600
37-3019,"Grounds Maintenance Workers, All Other",41300,32800,45600,30600,36400,38200,43800,57800
39-1013,First-Line Supervisors of Gambling Services Workers,56200,39500,64600,36700,45600,55500,66300,73500
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",47100,32800,54300,32000,36400,48100,49600,64100
39-1022,First-Line Supervisors of Personal Service Workers,49500,34200,57200,30500,40600,46500,62500,72000
39-2011,Animal Trainers,40500,30400,45500,29200,33200,39100,45800,48600
39-2021,Animal Caretakers,30100,22000,34100,21800,23400,30100,32200,39500
39-3011,Gambling Dealers,36200,22100,43200,21900,23800,31200,41900,66800
39-3012,Gambling and Sports Book Writers and Runners,29100,21500,32900,20900,23200,27600,32700,41000
39-3019,"Gambling Service Workers, All Other",33600,23100,38800,21800,25800,31400,35300,50800
39-3021,Motion Picture Projectionists,44500,25200,54200,23900,28400,36100,69500,75400
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",28600,23400,31200,23300,24400,29000,33400,33400
39-3091,Amusement and Recreation Attendants,23800,18000,26700,18000,18500,21600,29200,31800
39-3092,Costume Attendants,64900,34000,80400,32400,39700,68100,81400,100800
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",39400,23500,47400,22900,25800,34600,39700,82100
39-3099,"Entertainment Attendants and Related Workers, All Other",26000,21700,28200,21300,22600,24300,24400,34700
39-4011,Embalmers,62300,46700,70100,46900,49200,63000,70800,77200
39-4012,Crematory Operators,39700,30500,44400,29700,32900,38400,44400,53400
39-4021,Funeral Attendants,31800,25900,34800,23900,29300,31800,36800,39700
39-4031,"Morticians, Undertakers, and Funeral Arrangers",53100,34200,62600,31000,40600,49900,62900,82400
39-5011,Barbers,48200,24300,60200,19100,30100,48100,63800,85000
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",49600,25600,61500,24100,29300,44400,55000,72900
39-5091,"Makeup Artists, Theatrical and Performance",165200,64900,215300,50000,89300,138800,172800,192900
39-5092,Manicurists and Pedicurists,29400,19100,34600,17100,21600,27100,35700,42000
39-5093,Shampooers,27900,23900,29900,22800,25600,26900,29500,34900
39-5094,Skincare Specialists,46600,25500,57100,22100,30700,43300,62900,71000
39-6011,Baggage Porters and Bellhops,30500,22500,34500,21900,24400,31500,34500,37100
39-6012,Concierges,35200,28500,38500,27100,31500,36000,37500,44000
39-7011,Tour Guides and Escorts,35200,25900,39900,24300,29200,35500,36900,44200
39-7012,Travel Guides,35200,25800,39900,24300,29200,35500,36900,44200
39-9011,Childcare Workers,28200,22700,31000,22800,23500,28800,29800,37400
39-9031,Exercise Trainers and Group Fitness Instructors,56700,38400,65800,33400,46900,52700,71200,76800
39-9032,Recreation Workers,36000,26000,41000,22800,31100,37300,41600,43700
39-9041,Residential Advisors,35500,29500,38600,29100,30600,33200,39400,44800
39-9099,"Personal Care and Service Workers, All Other",28900,21300,32700,21300,22000,25500,30700,38100
41-1011,First-Line Supervisors of Retail Sales Workers,48300,31200,56800,30300,33900,40700,55100,71100
41-1012,First-Line Supervisors of Non-Retail Sales Workers,84900,55300,99800,49000,65900,74100,100000,115400
41-2011,Cashiers,27700,22200,30500,21500,24100,28600,30600,31700
41-2012,Gambling Change Persons and Booth Cashiers,33000,23500,37700,21700,26700,31500,35500,44100
41-2021,Counter and Rental Clerks,37800,25800,43900,23200,30200,36600,44500,51400
41-2022,Parts Salespersons,42500,27100,50100,25900,30300,37700,48900,66800
41-2031,Retail Salespersons,32400,22600,37300,22500,23800,29500,35000,42900
41-3011,Advertising Sales Agents,40400,23600,48800,22100,26900,40300,43600,62700
41-3021,Insurance Sales Agents,71600,40600,87100,41000,41900,51600,82700,135900
41-3031,"Securities, Commodities, and Financial Services Sales Agents",80800,49400,96400,50200,51000,64800,88900,131300
41-3041,Travel Agents,46400,31600,53800,29300,36600,44600,51600,68900
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",65700,35000,81000,33200,40500,57500,81300,100800
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",100000,47800,126100,40300,61500,86100,136600,191500
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",84800,41500,106400,36800,50900,66800,97700,164000
41-9011,Demonstrators and Product Promoters,42300,30300,48200,29300,32800,37400,48600,60500
41-9012,Models,72800,38500,90000,37500,44700,78800,78800,108100
41-9021,Real Estate Brokers,82100,40200,103100,37300,47700,68400,106100,153200
41-9022,Real Estate Sales Agents,56600,32400,68700,30900,36900,49900,64900,101000
41-9031,Sales Engineers,113900,77200,132300,73200,86400,104300,131400,168200
41-9041,Telemarketers,30100,22200,34100,21500,24200,29000,34100,41400
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",36300,25600,41700,23000,29700,32500,40000,51500
41-9099,"Sales and Related Workers, All Other",49100,25600,60800,24500,28800,38800,58100,114200
43-1011,First-Line Supervisors of Office and Administrative Support Workers,70000,44300,82800,41800,50700,65300,85000,102300
43-2011,"Switchboard Operators, Including Answering Service",36800,29500,40500,29100,31300,37200,42200,42800
43-2021,Telephone Operators,37600,31700,40500,30500,33800,36000,43000,47900
43-2099,"Communications Equipment Operators, All Other",51000,37400,57800,34800,42200,46700,59600,81900
43-3011,Bill and Account Collectors,40800,20900,50700,19100,23300,47300,47300,51200
43-3021,Billing and Posting Clerks,46000,36200,50900,34600,39600,44800,50800,60200
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",47300,34300,53900,32200,39000,46900,52400,64100
43-3041,Gambling Cage Workers,35500,27700,39400,26700,30000,34300,40400,45400
43-3051,Payroll and Timekeeping Clerks,57100,38700,66300,37100,43000,53400,69400,77000
43-3061,Procurement Clerks,47400,35200,53500,34400,38100,46700,54500,62200
43-3071,Tellers,40200,34800,42900,32800,38100,39300,44700,47500
43-3099,"Financial Clerks, All Other",51100,39000,57100,37100,43100,50000,59500,72300
43-4011,Brokerage Clerks,61000,45700,68700,44400,49800,60700,69400,81200
43-4021,Correspondence Clerks,42500,32800,47300,31600,35800,42600,47700,56200
43-4031,"Court, Municipal, and License Clerks",42400,33700,46700,34400,34400,42500,43300,52200
43-4041,"Credit Authorizers, Checkers, and Clerks",33700,25500,37700,25300,26300,29200,37500,50100
43-4051,Customer Service Representatives,42100,31700,47400,29900,35100,39600,47500,55300
43-4061,"Eligibility Interviewers, Government Programs",40400,35700,42700,36000,36000,39500,44500,46900
43-4071,File Clerks,30800,22500,35000,22900,22900,28500,38300,45400
43-4081,"Hotel, Motel, and Resort Desk Clerks",27300,21300,30300,19800,24100,28000,30300,34600
43-4111,"Interviewers, Except Eligibility and Loan",37900,23200,45300,21000,26800,37000,46000,56500
43-4121,"Library Assistants, Clerical",33600,22800,38900,21500,25700,33500,39300,47200
43-4131,Loan Interviewers and Clerks,49200,35600,55900,33900,40500,52200,54200,64600
43-4141,New Accounts Clerks,45400,37200,49500,36300,39600,45800,49200,57200
43-4151,Order Clerks,42800,34500,46900,33400,37000,41200,47400,55900
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",45200,37500,49100,36500,39800,43900,50600,53200
43-4171,Receptionists and Information Clerks,34900,27200,38700,25300,30700,35100,38500,42800
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,49800,37200,56200,37400,37600,42100,74300,74300
43-4199,"Information and Record Clerks, All Other",45300,28800,53500,24000,36100,45000,55700,64000
43-5011,Cargo and Freight Agents,54900,41300,61700,39200,46100,55000,63300,75800
43-5021,Couriers and Messengers,38000,32000,40900,31200,33400,35100,40800,46000
43-5031,Public Safety Telecommunicators,39400,35400,41400,33700,37800,37800,40100,47000
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",44700,29300,52400,29800,30900,42700,54000,66500
43-5041,"Meter Readers, Utilities",47700,34400,54300,33000,37700,44500,55200,73300
43-5051,Postal Service Clerks,64400,50100,71500,44600,59400,65900,72300,77200
43-5052,Postal Service Mail Carriers,60800,44200,69000,45000,45000,55500,77100,87600
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",61400,48100,68100,48400,49800,60500,76200,77300
43-5061,"Production, Planning, and Expediting Clerks",59800,41000,69200,37400,47800,56200,68900,85600
43-5071,"Shipping, Receiving, and Inventory Clerks",40300,32400,44300,31900,34200,39600,44700,51500
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43600,32800,49000,31700,35800,43400,50000,55500
43-6011,Executive Secretaries and Executive Administrative Assistants,65000,43500,75700,39600,51400,63000,77300,91200
43-6012,Legal Secretaries and Administrative Assistants,62000,36000,75000,36000,39400,57600,89600,89600
43-6013,Medical Secretaries and Administrative Assistants,42500,34900,46300,33400,37700,40800,47500,51300
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",40100,26700,46800,24400,31100,38900,49300,54800
43-9021,Data Entry Keyers,40100,29200,45600,26800,33800,39300,45900,52000
43-9022,Word Processors and Typists,36500,30700,39400,31200,31200,37000,40300,42900
43-9031,Desktop Publishers,57600,35500,68600,34400,38700,46400,76200,108700
43-9041,Insurance Claims and Policy Processing Clerks,54100,35400,63400,36700,36700,52400,65800,65800
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",36900,29900,40300,28300,33000,37100,38800,45500
43-9061,"Office Clerks, General",39700,28100,45500,26300,32100,39200,46100,52400
43-9071,"Office Machine Operators, Except Computer",39500,31100,43700,29700,34000,38600,45600,50800
43-9081,Proofreaders and Copy Markers,45100,32900,51200,30900,36800,41800,54500,61500
43-9111,Statistical Assistants,50400,38600,56400,36300,43000,47600,58400,72500
43-9199,"Office and Administrative Support Workers, All Other",41900,28900,48400,26900,32500,35400,52300,66400
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",77100,47900,91700,44100,57300,79500,94000,103500
45-2011,Agricultural Inspectors,47900,42800,50500,42800,42800,42800,52500,63700
45-2021,Animal Breeders,55700,40100,63500,38400,44300,52500,59700,88200
45-2041,"Graders and Sorters, Agricultural Products",37500,31600,40500,29800,34800,37500,40300,45000
45-2091,Agricultural Equipment Operators,39500,32000,43300,31800,33300,38200,42500,50700
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",35500,29300,38600,28100,31200,32500,41100,46000
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",37000,27100,42000,25200,30700,35100,39700,51900
45-2099,"Agricultural Workers, All Other",38700,26900,44700,27100,28200,36900,44700,50200
45-3031,Fishing and Hunting Workers,0,0,0,0,0,0,0,0
45-4011,Forest and Conservation Workers,47000,35800,52600,36100,36200,40700,49400,82400
45-4021,Fallers,50500,39200,56100,39300,39700,43200,48800,62400
45-4022,Logging Equipment Operators,54400,40800,61200,41500,41900,51900,63700,70200
45-4023,Log Graders and Scalers,44700,38100,48000,37800,39800,45600,49000,50800
45-4029,"Logging Workers, All Other",59700,37300,70900,35800,42200,55700,76900,87300
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,74200,55200,83600,50700,63000,69600,82300,99300
47-2011,Boilermakers,60100,39200,70500,39100,43000,62200,73800,78400
47-2021,Brickmasons and Blockmasons,64600,38300,77800,40000,40000,61200,88800,88800
47-2022,Stonemasons,42000,36000,45100,36200,36200,39400,46500,57400
47-2031,Carpenters,50000,33600,58100,32000,38000,48900,60600,65300
47-2041,Carpet Installers,40800,32200,45100,31700,33700,37200,45500,57900
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",44400,28800,52100,25200,35000,44200,52100,67500
47-2043,Floor Sanders and Finishers,55500,41800,62300,40500,45200,52500,63400,65600
47-2044,Tile and Stone Setters,51500,40000,57300,38500,43300,49300,55200,73200
47-2051,Cement Masons and Concrete Finishers,47700,36500,53200,36100,38800,46700,54300,60200
47-2053,Terrazzo Workers and Finishers,51900,37300,59100,35600,41200,48500,61600,86500
47-2061,Construction Laborers,40900,31600,45600,30200,34700,39700,44700,54100
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",45900,37900,49900,37500,39300,44300,47600,55700
47-2072,Pile Driver Operators,50700,42500,54700,39500,46900,47000,58000,69800
47-2073,Operating Engineers and Other Construction Equipment Operators,49200,36800,55400,36000,39600,47700,54500,60200
47-2081,Drywall and Ceiling Tile Installers,53100,36900,61200,37100,39300,53200,58100,74500
47-2082,Tapers,58800,41100,67700,39600,45100,55000,69800,88400
47-2111,Electricians,60800,41400,70500,39300,46200,55500,75900,97700
47-2121,Glaziers,49000,34500,56200,32500,39100,47300,55400,71400
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47100,34000,53600,32700,37600,45800,53600,61800
47-2132,"Insulation Workers, Mechanical",51500,41100,56700,38900,45400,50000,59300,63100
47-2141,"Painters, Construction and Maintenance",46800,36400,52000,34500,40300,46000,48700,56100
47-2142,Paperhangers,43000,32500,48200,31100,35400,40600,48800,57600
47-2151,Pipelayers,46500,35900,51700,34500,39200,46000,50000,59900
47-2152,"Plumbers, Pipefitters, and Steamfitters",54800,37100,63600,35300,41600,50700,64000,78600
47-2161,Plasterers and Stucco Masons,45100,33700,50800,31000,38100,41500,44100,62100
47-2171,Reinforcing Iron and Rebar Workers,58900,33000,71800,33300,36500,59100,76600,95700
47-2181,Roofers,47000,34100,53400,34700,35200,45800,54300,65800
47-2211,Sheet Metal Workers,50200,37600,56500,36400,41100,49900,59800,64200
47-2221,Structural Iron and Steel Workers,54700,38500,62800,36600,43500,55900,62200,68600
47-2231,Solar Photovoltaic Installers,47300,36300,52800,34600,39600,43700,52700,66500
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",41300,31900,46100,31400,33600,39200,48500,56700
47-3012,Helpers--Carpenters,39000,30400,43300,28800,34300,41800,43000,43000
47-3013,Helpers--Electricians,40100,33400,43400,30600,37700,39800,41100,49400
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",32200,28800,33800,28100,30300,32800,33900,33900
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",37200,32500,39500,32600,33000,35900,39400,48800
47-3016,Helpers--Roofers,39900,34900,42400,32700,38700,42000,42000,43400
47-3019,"Helpers, Construction Trades, All Other",43200,33200,48300,30800,37200,39100,53300,56500
47-4011,Construction and Building Inspectors,66800,49100,75700,47400,53000,60000,78500,102700
47-4021,Elevator and Escalator Installers and Repairers,70700,40700,85700,35100,51000,68000,93700,106900
47-4031,Fence Erectors,36200,29000,39900,28000,31300,35700,39000,47300
47-4041,Hazardous Materials Removal Workers,45000,32700,51200,31300,36300,43900,50700,57300
47-4051,Highway Maintenance Workers,38600,28700,43600,26900,32500,38800,43400,48700
47-4061,Rail-Track Laying and Maintenance Equipment Operators,63800,46800,72200,46300,49700,60600,64100,73100
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,46300,34100,52300,32200,37900,42800,52800,69000
47-4091,Segmental Pavers,48000,33900,55000,32300,38000,46500,56500,73800
47-4099,"Construction and Related Workers, All Other",47800,33800,54700,32100,37800,46300,56300,73600
47-5011,"Derrick Operators, Oil and Gas",52000,39400,58300,38200,43000,52200,60200,69600
47-5012,"Rotary Drill Operators, Oil and Gas",58300,41100,66800,38900,46200,54900,68200,81800
47-5013,"Service Unit Operators, Oil and Gas",50400,37000,57100,35400,40700,48100,58100,76700
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",51200,43200,55200,42700,44900,49500,57900,61600
47-5023,"Earth Drillers, Except Oil and Gas",56200,45900,61400,44100,49400,54600,61900,76900
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",56400,47800,60700,47600,48100,48100,58100,92600
47-5041,Continuous Mining Machine Operators,59600,54700,62100,54100,56300,60400,61900,63400
47-5043,"Roof Bolters, Mining",63500,50700,69900,46500,58100,64800,67600,73400
47-5044,"Loading and Moving Machine Operators, Underground Mining",53400,47300,56500,47600,47700,52300,59100,62600
47-5049,"Underground Mining Machine Operators, All Other",57300,42600,64700,42400,45200,56900,67500,69300
47-5051,"Rock Splitters, Quarry",52000,40100,57900,39000,42600,47300,52500,91800
47-5071,"Roustabouts, Oil and Gas",40900,31700,45400,31500,33400,39800,47600,53000
47-5081,Helpers--Extraction Workers,47900,40500,51600,38900,44200,51900,51900,52000
47-5099,"Extraction Workers, All Other",46300,35600,51700,34300,38500,43800,51100,64700
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",78300,50300,92200,47000,57600,70500,89900,116900
49-2011,"Computer, Automated Teller, and Office Machine Repairers",43300,35100,47400,33600,37800,40800,49200,56400
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",70300,56100,77500,53200,61600,68000,79100,92400
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",62900,49600,69600,46800,54900,61900,63200,86900
49-2091,Avionics Technicians,74000,48700,86700,42000,60100,69000,88200,105100
49-2092,"Electric Motor, Power Tool, and Related Repairers",51600,41500,56700,40400,44100,50100,57600,66400
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",72300,63400,76700,63400,63400,63500,81400,100800
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",65900,50000,73800,47300,55900,66700,72700,84800
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",104800,75100,119700,61600,96600,106300,124300,129000
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",62700,42300,72800,41300,46100,57800,78700,93900
49-2097,Audiovisual Equipment Installers and Repairers,54200,37700,62400,34800,43500,51400,63100,76100
49-2098,Security and Fire Alarm Systems Installers,47700,39000,52000,36100,43200,43200,55900,64400
49-3011,Aircraft Mechanics and Service Technicians,59100,44700,66300,44800,47300,61400,69900,79900
49-3021,Automotive Body and Related Repairers,66200,40200,79200,38100,44800,52800,81900,134500
49-3022,Automotive Glass Installers and Repairers,45000,31100,52000,29900,34900,46800,49400,59700
49-3023,Automotive Service Technicians and Mechanics,56900,33200,68800,31400,38200,51700,66200,82500
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,62400,43400,72000,40700,48800,57300,72200,87900
